Indice;Codigo;Urls;Area;Habitaciones;Garaje;Ducha;Municipio;Barrio;Sector;Precio;Estrato;En_unidad_cerrada
0;62060;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=62060;'16.00 m2;1;0;1;Envigado;Trianon;Envigado;700000;3;Sí
1;64088;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=64088;'30.00 m2;1;0;1;Envigado;El Trianon;Envigado;900000;3;Sí
2;64185;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=64185;'22.00 m2;1;0;1;Envigado;El Salado;Envigado;920000;2;Sí
3;64116;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=64116;'42.00 m2;1;0;1;Envigado;La Florida;Envigado;1000000;2;Sí
4;62667;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=62667;'66.00 m2;1;0;1;Envigado;El Salado;Envigado;1100000;2;Sí
5;64136;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=64136;'36.00 m2;1;0;1;Envigado;La Paz;Sur;1150000;3;Sí
6;63020;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=63020;'20.00 m2;1;0;1;Envigado;San Marcos;Envigado;1150000;4;Sí
7;63822;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=63822;'32.00 m2;1;0;1;Envigado;Centro;Envigado;1200000;3;Sí
8;63998;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=63998;'35.00 m2;1;0;1;Envigado;Centro;Envigado;1250009;3;Sí
9;63639;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=63639;'68.00 m2;2;0;1;Envigado;El Chingui;Envigado;1400000;3;Sí
10;63744;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=63744;'30.00 m2;2;0;1;Envigado;Alcala;Envigado;1500000;4;Sí
11;64009;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=64009;'55.00 m2;3;0;2;Envigado;La Mina;Envigado;1600000;3;Sí
12;64043;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=64043;'75.00 m2;3;1;2;Envigado;La Mina;Envigado;1600000;3;Sí
13;64184;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=64184;'35.00 m2;2;0;1;Envigado;Mesa;Envigado;1600000;3;Sí
14;64228;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=64228;'90.00 m2;2;0;2;Envigado;La Paz;Envigado;1600000;3;Sí
15;64224;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=64224;'66.30 m2;3;1;2;Envigado;La Mina;Envigado;1790000;3;Sí
16;64182;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=64182;'90.00 m2;3;0;2;Envigado;Trianon;Envigado;1800000;3;Sí
17;61643;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=61643;'80.00 m2;1;0;1;Envigado;El Chingui;Envigado;2000000;2;Sí
18;64160;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=64160;'62.00 m2;3;1;2;Envigado;Loma Del Barro;Envigado;2000000;4;Sí
19;64237;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=64237;'68.00 m2;2;1;2;Envigado;El Chingui;Envigado;2000000;3;Sí
20;63600;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=63600;'100.00 m2;3;0;2;Envigado;El Dorado;Envigado;2200000;3;Sí
21;64164;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=64164;'80.00 m2;3;1;2;Envigado;El Dorado;Envigado;2200000;3;Sí
22;63500;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=63500;'73.00 m2;3;0;2;Envigado;Centro;Envigado;2250000;3;N/A
23;64008;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=64008;'64.00 m2;3;1;2;Envigado;Loma Del Esmeraldal;Envigado;2250000;4;N/A
24;62084;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=62084;'98.00 m2;3;1;2;Envigado;El Dorado;Envigado;2300000;3;N/A
25;63560;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=63560;'98.00 m2;3;0;2;Envigado;Centro;Envigado;2300000;3;N/A
26;64153;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=64153;'90.00 m2;3;1;2;Envigado;Alcala;Envigado;2300000;3;N/A
27;64180;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=64180;'58.00 m2;3;1;2;Envigado;Loma Del Barro;Envigado;2300000;4;N/A
28;64225;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=64225;'140.00 m2;4;1;2;Envigado;El Dorado;Envigado;2300000;3;N/A
29;62813;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=62813;'62.00 m2;3;1;2;Envigado;Loma Del Barro;Envigado;2350000;4;N/A
30;63873;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=63873;'85.00 m2;3;1;2;Envigado;Mesa;Envigado;2500000;4;N/A
31;64021;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=64021;'70.00 m2;2;1;2;Envigado;Las Antillas;Envigado;2500000;4;N/A
32;64097;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=64097;'80.00 m2;3;1;2;Envigado;El Dorado;Envigado;2500000;4;N/A
33;64119;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=64119;'140.00 m2;3;0;2;Envigado;Mesa;Envigado;2500000;3;N/A
34;64016;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=64016;'90.00 m2;3;0;2;Envigado;La Magnolia;Envigado;2600000;3;N/A
35;63879;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=63879;'108.00 m2;3;1;3;Envigado;Mesa;Envigado;2800000;3;N/A
36;63742;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=63742;'80.00 m2;3;1;2;Envigado;Las Antillas;Envigado;3000000;4;N/A
37;63810;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=63810;'76.00 m2;3;1;2;Envigado;El Chingui;Envigado;3000000;4;N/A
38;63811;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=63811;'76.00 m2;3;1;2;Envigado;El Chingui;Envigado;3000000;4;N/A
39;64238;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=64238;'93.00 m2;3;2;2;Envigado;El Salado;Envigado;3000000;4;N/A
40;63938;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=63938;'150.00 m2;4;0;3;Envigado;San Marcos;Envigado;3200000;3;N/A
41;63760;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=63760;'83.00 m2;3;1;2;Envigado;San Lucas;Envigado;3300000;5;N/A
42;63992;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=63992;'125.00 m2;3;1;3;Envigado;El Portal;Envigado;3300000;5;N/A
43;64188;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=64188;'86.00 m2;3;2;2;Envigado;Jardines;Envigado;3400000;5;N/A
44;64047;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=64047;'98.00 m2;3;1;2;Envigado;Jardines;Envigado;3500000;4;N/A
45;63884;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=63884;'64.00 m2;1;1;2;Envigado;Pontevedra;Envigado;3550000;5;N/A
46;64138;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=64138;'110.00 m2;3;1;3;Envigado;Jardines;Envigado;3600000;5;N/A
47;64020;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=64020;'106.00 m2;3;1;3;Envigado;Loma Del Barro;Envigado;3650000;4;N/A
48;64081;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=64081;'112.00 m2;3;2;3;Envigado;Loma De Las Brujas;Envigado;4500000;5;N/A
49;64222;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=64222;'125.00 m2;3;2;5;Envigado;Loma De Las Brujas;Envigado;4800000;5;N/A
50;64060;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=64060;'100.00 m2;3;2;2;Envigado;Loma Del Escobero;Envigado;4900000;5;N/A
51;64223;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=64223;'83.00 m2;2;1;2;Envigado;Loma Del Escobero;Envigado;4900000;5;N/A
52;63745;https://www.arrendamientosenvigadosa.com/inmueble.html?inmueble=63745;'100.00 m2;3;2;2;Envigado;Loma Del Escobero;Envigado;5500000;5;N/A
